Year,State,Non-Hispanic Asian or Pacific Islander 
2012,Virginia,
2012,Washington,39349
2012,West Virginia,
2012,Wisconsin,
2012,Wyoming,
2012,Guam,6454
2012,Puerto Rico,
2013,Virgin Islands of the U.S.,
2013,Alabama,
2013,Alaska,
2013,Arizona,
2013,Arkansas,
2013,California,396620
2013,Colorado,
2013,Connecticut,
2013,Delaware,
2013,District of Columbia,271
2013,Florida,14559
2013,Georgia,
2013,Hawaii,48122
2013,Idaho,
2013,Illinois,
2013,Indiana,
2013,Iowa,
2013,Kansas,1970
2013,Kentucky,
2013,Louisiana,57
2013,Maine,
2013,Maryland,19573
2013,Massachusetts,20324
2013,Michigan,
2013,Minnesota,1607
2013,Mississippi,
2013,Missouri,
2013,Montana,
2013,Nebraska,
2013,Nevada,28117
2013,New Hampshire,
2013,New Jersey,44111
2013,New Mexico,
2013,New York,167957
2013,North Carolina,
2013,North Dakota,
2013,Ohio,
2013,Oklahoma,
2013,Oregon,
2013,Pennsylvania,
2013,Rhode Island,
2013,South Carolina,
2013,South Dakota,
2013,Tennessee,
2013,Texas,
2013,Utah,
2013,Vermont,
2013,Virginia,
2013,Washington,30125
2013,West Virginia,
2013,Wisconsin,
2013,Wyoming,
2013,Guam,10379
2013,Puerto Rico,
2014,Virgin Islands of the U.S.,
2014,Alabama,
2014,Alaska,
2014,Arizona,
2014,Arkansas,
2014,California,404885
2014,Colorado,5872
2014,Connecticut,
2014,Delaware,
2014,District of Columbia,
2014,Florida,37776
2014,Georgia,
2014,Hawaii,60037
2014,Idaho,
2014,Illinois,34021
2014,Indiana,
2014,Iowa,
2014,Kansas,1083
2014,Kentucky,
2014,Louisiana,560
2014,Maine,
2014,Maryland,19755
2014,Massachusetts,15587
2014,Michigan,
2014,Minnesota,4554
2014,Mississippi,
2014,Missouri,
2014,Montana,
2014,Nebraska,
2014,Nevada,
2014,New Hampshire,
2014,New Jersey,56461
2014,New Mexico,
2014,New York,109732
2014,North Carolina,
2014,North Dakota,
2014,Ohio,
2014,Oklahoma,
2014,Oregon,
2014,Pennsylvania,
2014,Rhode Island,
2014,South Carolina,
2014,South Dakota,
2014,Tennessee,
2014,Texas,
2014,Utah,3213
2014,Vermont,
2014,Virginia,
2014,Washington,26261
2014,West Virginia,
2014,Wisconsin,357
2014,Wyoming,
2014,Guam,8493
2014,Puerto Rico,
2015,Virgin Islands of the U.S.,
2015,Alabama,
2015,Alaska,
2015,Arizona,12048
2015,Arkansas,
2015,California,518489
2015,Colorado,
2015,Connecticut,7079
2015,Delaware,
2015,District of Columbia,
2015,Florida,
2015,Georgia,
2015,Hawaii,47490
2015,Idaho,
2015,Illinois,38282
2015,Indiana,
2015,Iowa,
2015,Kansas,2413
2015,Kentucky,
2015,Louisiana,
2015,Maine,
2015,Maryland,22089
2015,Massachusetts,
2015,Michigan,
2015,Minnesota,8173
2015,Mississippi,
2015,Missouri,
2015,Montana,
2015,Nebraska,
2015,Nevada,
2015,New Hampshire,
2015,New Jersey,43454
2015,New Mexico,
2015,New York,151903
2015,North Carolina,
2015,North Dakota,
2015,Ohio,
2015,Oklahoma,
2015,Oregon,
2015,Pennsylvania,2897
2015,Rhode Island,351
2015,South Carolina,
2015,South Dakota,
2015,Tennessee,409
2015,Texas,
2015,Utah,
2015,Vermont,
2015,Virginia,
2015,Washington,27129
2015,West Virginia,
2015,Wisconsin,
2015,Wyoming,
2015,Guam,8690
2015,Puerto Rico,
2016,Alabama,
2016,Alaska,
2016,Arizona,3148
2016,Arkansas,
2016,California,553407
2016,Colorado,4318
2016,Connecticut,
2016,Delaware,
2016,District of Columbia,
2016,Florida,55092
2016,Georgia,
2016,Hawaii,61572
2016,Idaho,
2016,Illinois,30162
2016,Indiana,
2016,Iowa,
2016,Kansas,
2016,Kentucky,
2016,Louisiana,
2016,Maine,
2016,Maryland,18070
2016,Massachusetts,
2016,Michigan,20806
2016,Minnesota,10339
2016,Mississippi,
2016,Missouri,
2016,Montana,
2016,Nebraska,
2016,Nevada,16611
2016,New Hampshire,
2016,New Jersey,35688
2016,New Mexico,
2016,New York,149346
2016,North Carolina,
2016,North Dakota,
2016,Ohio,
2016,Oklahoma,
2016,Oregon,
2016,Pennsylvania,
2016,Rhode Island,
2016,South Carolina,
2016,South Dakota,
2016,Tennessee,
2016,Texas,
2016,Utah,
2016,Vermont,
2016,Virginia,
2016,Washington,28509
2016,West Virginia,
2016,Wisconsin,
2016,Wyoming,
2016,Guam,7839
2016,Puerto Rico,
2016,Virgin Islands of the U.S.,
2017,Virgin Islands of the U.S.,
2017,Alabama,
2017,Alaska,
2017,Arizona,16819
2017,Arkansas,489
2017,California,447130
2017,Colorado,10286
2017,Connecticut,9674
2017,Delaware,
2017,District of Columbia,
2017,Florida,
2017,Georgia,
2017,Hawaii,66122
2017,Idaho,
2017,Illinois,28103
2017,Indiana,
2017,Iowa,212
2017,Kansas,2987
2017,Kentucky,284
2017,Louisiana,
2017,Maine,
2017,Maryland,36656
2017,Massachusetts,
2017,Michigan,
2017,Minnesota,
2017,Mississippi,
2017,Missouri,
2017,Montana,
2017,Nebraska,
2017,Nevada,27023
2017,New Hampshire,
2017,New Jersey,93059
2017,New Mexico,
2017,New York,134855
2017,North Carolina,
2017,North Dakota,
2017,Ohio,
2017,Oklahoma,
2017,Oregon,
2017,Pennsylvania,
2017,Rhode Island,
2017,South Carolina,
2017,South Dakota,
2017,Tennessee,
2017,Texas,
2017,Utah,
2017,Vermont,
2017,Virginia,18677
2017,Washington,41488
2017,West Virginia,
2017,Wisconsin,
2017,Wyoming,
2017,Guam,11413
2017,Puerto Rico,
2018,Virgin Islands of the U.S.,
2018,Alabama,
2018,Alaska,
2018,Arizona,
2018,Arkansas,
2018,California,509061
2018,Colorado,
2018,Connecticut,8458
2018,Delaware,
2018,District of Columbia,504
2018,Florida,
2018,Georgia,33764
2018,Hawaii,78792
2018,Idaho,
2018,Illinois,
2018,Indiana,
2018,Iowa,
2018,Kansas,5793
2018,Kentucky,
2018,Louisiana,
2018,Maine,31
2018,Maryland,39840
2018,Massachusetts,
2018,Michigan,
2018,Minnesota,14255
2018,Mississippi,
2018,Missouri,
2018,Montana,
2018,Nebraska,
2018,Nevada,26546
2018,New Hampshire,
2018,New Jersey,
2018,New Mexico,
2018,New York,210238
2018,North Carolina,
2018,North Dakota,
2018,Ohio,
2018,Oklahoma,
2018,Oregon,
2018,Pennsylvania,
2018,Rhode Island,
2018,South Carolina,
2018,South Dakota,
2018,Tennessee,
2018,Texas,
2018,Utah,
2018,Vermont,64
2018,Virginia,49349
2018,Washington,30840
2018,West Virginia,
2018,Wisconsin,
2018,Wyoming,
2018,Guam,11122
2018,Puerto Rico,
2019,New Jersey,
2019,Virgin Islands of the U.S.,
2019,Alabama,
2019,Alaska,
2019,Arizona,
2019,Arkansas,
2019,California,388245
2019,Colorado,
2019,Connecticut,8139
2019,Delaware,
2019,District of Columbia,
2019,Florida,
2019,Georgia,
2019,Hawaii,66621
2019,Idaho,
2019,Illinois,36240
2019,Indiana,
2019,Iowa,
2019,Kansas,
2019,Kentucky,
2019,Louisiana,
2019,Maine,
2019,Maryland,38581
2019,Massachusetts,
2019,Michigan,4589
2019,Minnesota,10452
2019,Mississippi,
2019,Missouri,
2019,Montana,
2019,Nebraska,
2019,Nevada,
2019,New Hampshire,
2019,New Mexico,
2019,New York,142984
2019,North Carolina,
2019,North Dakota,
2019,Ohio,
2019,Oklahoma,
2019,Oregon,
2019,Pennsylvania,
2019,Rhode Island,3905
2019,South Carolina,
2019,South Dakota,
2019,Tennessee,
2019,Texas,80784
2019,Utah,
2019,Vermont,
2019,Virginia,
2019,Washington,50530
2019,West Virginia,
2019,Wisconsin,
2019,Wyoming,
2019,Guam,9739
2019,Puerto Rico,
2020,Virgin Islands of the U.S.,
2020,Alabama,
2020,Alaska,
2020,Arizona,20943
2020,Arkansas,
2020,California,203382
2020,Colorado,
2020,Connecticut,18503
2020,Delaware,
2020,District of Columbia,
2020,Florida,
2020,Georgia,
2020,Hawaii,73360
2020,Idaho,124
2020,Illinois,
2020,Indiana,
2020,Iowa,
2020,Kansas,
2020,Kentucky,180
2020,Louisiana,
2020,Maine,
2020,Maryland,29828
2020,Massachusetts,
2020,Michigan,
2020,Minnesota,8629
2020,Mississippi,
2020,Missouri,
2020,Montana,
2020,Nebraska,
2020,Nevada,
2020,New Hampshire,
2020,New Jersey,73617
2020,New Mexico,
2020,New York,143398
2020,North Carolina,
2020,North Dakota,
2020,Ohio,
2020,Oklahoma,
2020,Oregon,
2020,Pennsylvania,43817
2020,Rhode Island,
2020,South Carolina,
2020,South Dakota,
2020,Tennessee,
2020,Texas,
2020,Utah,5475
2020,Vermont,
2020,Virginia,45492
2020,Washington,41353
2020,West Virginia,
2020,Wisconsin,818
2020,Wyoming,
2020,Guam,11656
2020,Puerto Rico,
